City_ID,City,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,richards bay,16.14,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
2,bathsheba,30.34,scattered clouds,13.2167,-59.5167,Atlantis Hotel
4,fare,27.0,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
6,birjand,29.26,few clouds,32.8663,59.2211,Birjand Tourist Hotel
8,hermanus,17.72,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
9,puerto ayora,26.98,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,new norfolk,11.07,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
11,buala,26.5,light rain,-8.145,159.5921,Maringe Lagoon Lodge
12,cherskiy,11.71,scattered clouds,68.75,161.3,Gostinitsa
13,geraldton,11.23,clear sky,-28.7667,114.6,Broadwater Mariner Resort
14,gitega,16.76,scattered clouds,-3.5,29.95,Le QUINQUINA
15,mercedes,17.7,clear sky,-34.6515,-59.4307,Posada del Inti Centro
16,constantine,26.67,few clouds,36.365,6.6147,Grand Hotel Cirta
18,hithadhoo,28.84,overcast clouds,-0.6,73.0833,Scoop Guest House
19,rikitea,22.42,overcast clouds,-23.1203,-134.9692,Pension Maro'i
21,yellowknife,16.29,scattered clouds,62.456,-114.3525,The Explorer Hotel
22,bambous virieux,24.56,scattered clouds,-20.3428,57.7575,Casa Tia Villa
23,huilong,22.8,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
24,hilo,25.44,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
27,lorengau,25.22,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
28,east london,16.52,light rain,-33.0153,27.9116,Tu Casa
29,anton lizardo,32.34,clear sky,19.05,-95.9833,Hotel CocoAventura
31,shetpe,26.12,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
32,jamestown,21.4,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
33,sao joao da barra,29.05,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
34,cedar city,31.33,overcast clouds,37.6775,-113.0619,Hampton Inn Cedar City
35,galle,27.04,overcast clouds,6.0367,80.217,Amangalla
36,ixtapa,36.3,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
37,cabo san lucas,34.17,scattered clouds,22.8909,-109.9124,Tesoro Los Cabos
39,hambantota,26.19,few clouds,6.1241,81.1185,Bungalow 63
40,ballitoville,17.08,light rain,-29.539,31.2144,Zimbali Lodge
41,saint-philippe,23.77,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
42,saint-pierre,23.82,clear sky,-21.3393,55.4781,Lindsey Hôtel
44,touros,30.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
45,port lincoln,15.3,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
46,lockhart,33.89,overcast clouds,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
47,tabas,36.25,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
48,olinda,25.85,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
49,payakumbuh,20.69,moderate rain,-0.2202,100.6308,OYO 3114 Homestay Dalimo
51,sheregesh,12.33,broken clouds,52.9209,87.9869,Akvilon Hotel
52,manokwari,25.86,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
53,lebu,13.46,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
54,plettenberg bay,14.51,light rain,-34.0527,23.3716,Thanda Vista B&B
55,santiago,23.43,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
56,bengkulu,25.06,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
57,atuona,26.68,overcast clouds,-9.8,-139.0333,Villa Enata
58,port elizabeth,16.16,moderate rain,-33.918,25.5701,39 On Nile Guest House
59,pisco,18.03,mist,-13.7,-76.2167,Hotel San Isidro Oficial
60,aksu,23.18,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
61,sao francisco,32.76,broken clouds,-15.9486,-44.8644,Hotel Supremo
62,huanuco,24.2,overcast clouds,-9.9329,-76.2415,Sweet Dreams
63,antalaha,21.88,light rain,-14.9003,50.2788,Hotel Vitasoa
64,busselton,15.57,overcast clouds,-33.65,115.3333,Observatory Guest House
65,acapulco,31.95,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
66,sola,26.33,overcast clouds,-13.8833,167.55,Leumerus Bungalows
67,hobart,11.26,light rain,-42.8794,147.3294,Mantra on Collins Hobart
68,alta floresta,34.9,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
70,victoria,29.62,overcast clouds,22.2855,114.1577,Mini Hotel Central
71,ponta do sol,19.51,overcast clouds,32.6667,-17.1,Hotel do Campo
72,luderitz,19.84,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
73,port hardy,16.1,broken clouds,50.6996,-127.4199,Airport Inn
74,arraial do cabo,26.98,clear sky,-22.9661,-42.0278,Pousada Porto Praia
76,ribeira grande,18.22,few clouds,38.5167,-28.7,Quinta da Meia Eira
78,samarai,25.7,overcast clouds,-10.6167,150.6667,Nuli Sapi
79,port alfred,16.31,overcast clouds,-33.5906,26.891,The Halyards Hotel
80,uberaba,28.32,moderate rain,-19.7483,-47.9319,Tamareiras Park Hotel
82,berlevag,16.97,clear sky,70.8578,29.0864,Kvitbrakka
83,kismayo,25.64,overcast clouds,-0.3582,42.5454,Agan-Hotel
84,mahebourg,24.58,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
86,brewster,25.71,overcast clouds,41.3973,-73.6171,Heidi's Inn
87,loxstedt,23.95,clear sky,53.4667,8.65,Ferienwohnungen Loxstedter Weinscheune
88,meulaboh,25.73,overcast clouds,4.1363,96.1285,Kost Pria
90,skjervoy,13.1,clear sky,70.0311,20.9714,Skjervøy Byggeservice AS
