City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
richards bay,-28.783,32.0377,16.14,80,1,2.87,clear sky
turukhansk,65.8167,87.9833,3.03,95,100,4.53,overcast clouds
bathsheba,13.2167,-59.5167,30.34,54,40,6.0,scattered clouds
tiznit,29.5833,-9.5,19.96,55,92,2.97,overcast clouds
fare,-16.7,-151.0167,27.0,71,91,6.32,overcast clouds
albany,42.6001,-73.9662,26.26,53,100,2.19,overcast clouds
birjand,32.8663,59.2211,29.26,11,20,3.09,few clouds
ler,8.3018,30.1418,27.76,58,100,1.17,overcast clouds
hermanus,-34.4187,19.2345,17.72,81,33,6.31,scattered clouds
puerto ayora,-0.7393,-90.3518,26.98,79,92,3.58,overcast clouds
new norfolk,-42.7826,147.0587,11.07,77,100,0.45,overcast clouds
buala,-8.145,159.5921,26.5,82,83,1.37,light rain
cherskiy,68.75,161.3,11.71,38,36,3.63,scattered clouds
geraldton,-28.7667,114.6,11.23,87,0,4.65,clear sky
gitega,-3.5,29.95,16.76,78,31,1.22,scattered clouds
mercedes,-34.6515,-59.4307,17.7,47,2,4.71,clear sky
constantine,36.365,6.6147,26.67,50,20,2.06,few clouds
khasan,42.4308,130.6434,12.92,99,100,3.24,moderate rain
hithadhoo,-0.6,73.0833,28.84,67,100,7.31,overcast clouds
rikitea,-23.1203,-134.9692,22.42,60,100,7.97,overcast clouds
upernavik,72.7868,-56.1549,0.02,82,100,3.35,overcast clouds
yellowknife,62.456,-114.3525,16.29,77,40,0.89,scattered clouds
bambous virieux,-20.3428,57.7575,24.56,69,40,8.01,scattered clouds
huilong,31.8111,121.655,22.8,98,100,0.42,overcast clouds
hilo,19.7297,-155.09,25.44,86,65,0.89,broken clouds
nanortalik,60.1432,-45.2371,4.78,79,100,6.23,overcast clouds
qaanaaq,77.484,-69.3632,-2.24,77,98,1.44,overcast clouds
lorengau,-2.0226,147.2712,25.22,92,100,1.05,overcast clouds
east london,-33.0153,27.9116,16.52,82,0,6.69,light rain
anton lizardo,19.05,-95.9833,32.34,61,5,3.73,clear sky
mataura,-46.1927,168.8643,9.71,97,24,1.15,few clouds
shetpe,44.1667,52.1167,26.12,44,0,2.78,clear sky
jamestown,42.097,-79.2353,21.4,49,75,4.63,broken clouds
sao joao da barra,-21.6403,-41.0511,29.05,77,1,4.35,clear sky
cedar city,37.6775,-113.0619,31.33,7,93,3.61,overcast clouds
galle,6.0367,80.217,27.04,82,85,5.95,overcast clouds
ixtapa,20.7,-105.2,36.3,34,100,4.33,overcast clouds
cabo san lucas,22.8909,-109.9124,34.17,48,29,2.73,scattered clouds
ushuaia,-54.8,-68.3,1.79,95,26,0.74,scattered clouds
hambantota,6.1241,81.1185,26.19,100,20,7.11,few clouds
ballitoville,-29.539,31.2144,17.08,72,75,6.25,light rain
saint-philippe,-21.3585,55.7679,23.77,84,97,6.94,light rain
saint-pierre,-21.3393,55.4781,23.82,79,0,10.29,clear sky
nemuro,43.3236,145.575,9.04,100,100,2.69,overcast clouds
touros,-5.1989,-35.4608,30.5,67,4,6.89,clear sky
